Record_ID,Date,Temperature_C,Humidity_percent,Rainfall_mm,Wind_Speed_kmh,PM2_5_ug_m3,PM10_ug_m3,NO2_ug_m3,Air_Quality_Index_AQI,Green_Environmental_Index,Air_Quality_Category,
41,2025-02-10,31.1,51.8,0,11.5,22.7,66,13.2,59,69.2,Moderate,
42,2025-02-11,30,59.9,0,17.3,31.3,57.9,23.7,66,60.2,Moderate,
43,2025-02-12,23.3,76.1,0,12,23.7,55.4,21.1,72,63.2,Moderate,
44,2025-02-13,28.3,67,0,14.7,12.1,53.4,23.9,50,74.2,Good,
45,2025-02-14,27.6,67.2,2.1,10.6,32.8,50.2,36,78,61.6,Moderate,
46,2025-02-15,28.2,67.3,9.2,9.8,36.5,42.8,17.6,72,70.2,Moderate,
47,2025-02-16,31.8,66.1,4,11.2,22.7,30.4,23.1,51,65.3,Moderate,
48,2025-02-17,28.2,60.5,0,7.4,29.7,59.6,10,49,64.7,Good,
49,2025-02-18,30.7,71.3,0,6.9,18.5,61.1,27.1,36,64.1,Good,
50,2025-02-19,27.4,74.8,0,14.1,14.2,55.4,21.8,44,68.6,Good,
51,2025-02-20,28.6,71.2,7.2,14.4,32.2,30.2,21,63,61.2,Moderate,
52,2025-02-21,30.5,70.4,8.5,6.8,26.9,64.7,37,71,59.1,Moderate,
53,2025-02-22,19,81.5,1.6,13.1,8.3,65.3,24.1,56,61.6,Moderate,
54,2025-02-23,25.2,88.3,9.5,9.7,25.5,48.2,24.2,60,65.4,Moderate,
55,2025-02-24,24.4,72.2,0,11.1,19.5,46.5,20.9,61,63.1,Moderate,
56,2025-02-25,23.5,71.5,3.3,11.5,18.2,49,29.4,52,68.3,Moderate,
57,2025-02-26,25.5,65.7,4.7,13.2,28.3,72,22.8,73,69.5,Moderate,
58,2025-02-27,35.2,52.2,0,10.3,24.7,47.7,26.8,64,58.7,Moderate,
59,2025-02-28,22.2,65.5,1.2,14.5,11.9,44,8.1,47,61.6,Good,
60,2025-03-01,32.3,56.7,0,11,32.1,46.5,26.8,50,55.7,Good,
61,2025-03-02,17.7,80,3.3,12,24.2,30.6,22.7,45,75,Good,
62,2025-03-03,25.2,74.7,3.2,7.3,36.3,50.1,41.4,88,64.4,Moderate,
63,2025-03-04,27.9,69.3,0,16.9,17.4,63.8,24.1,70,66.1,Moderate,
64,2025-03-05,30.2,60.1,3.2,11.5,35.6,76.5,22.3,79,55.2,Moderate,
65,2025-03-06,30.9,72.7,0,12.3,22.5,59.9,19.9,54,63.4,Moderate,
66,2025-03-07,31.4,70.8,13.5,4.9,46.5,53,34.1,93,65.8,Moderate,
67,2025-03-08,25.1,70.9,4.5,7.4,17,82.7,12.9,64,62.4,Moderate,
68,2025-03-09,24.5,67.7,0,14,32.4,39.2,26.1,59,68.6,Moderate,
69,2025-03-10,31.7,68.9,0,10.9,25.1,48.8,35.2,68,75.1,Moderate,
70,2025-03-11,25.9,72.7,0,3.9,46.2,32.6,31.1,87,57.3,Moderate,
71,2025-03-12,20,66.4,0,13.3,22.9,58.1,17.5,72,58.3,Moderate,
72,2025-03-13,20.8,76.6,0,8.3,14.3,58.1,25.9,59,59.9,Moderate,
73,2025-03-14,21.9,77.9,0,14.5,14.9,72.7,21.2,56,71.6,Moderate,
74,2025-03-15,29.7,59.6,0,9.7,35.7,36.9,23,62,68.2,Moderate,
75,2025-03-16,27.8,70.6,0,10.7,35.5,70.7,39.4,91,60.9,Moderate,
76,2025-03-17,30.8,53.9,0,13.8,27,53.5,25,61,63.3,Moderate,
77,2025-03-18,24.7,83.3,0,7.1,27.1,61.6,30.9,71,58.7,Moderate,
78,2025-03-19,27.9,78.9,0.5,6.8,35.8,33.8,11.2,45,67.6,Good,
79,2025-03-20,30.4,64,0,9.4,31.4,75.2,38.1,95,60,Moderate,
80,2025-03-21,25.3,74.8,0.4,12.6,13,57.1,33.8,46,63.2,Good,
81,2025-03-22,29.5,47.8,0,5.7,25.5,57.7,30.2,62,66.2,Moderate,
82,2025-03-23,23.4,64.9,0,4.7,29.1,60.2,29.5,71,61.7,Moderate,
83,2025-03-24,25,69.9,0,12.6,32.9,36.7,27.2,81,62.1,Moderate,
84,2025-03-25,24.9,63.8,0,8.1,39.2,43.1,20.8,63,62.4,Moderate,
85,2025-03-26,20.4,83.2,0,8.7,28,38.6,25.2,52,67.6,Moderate,
86,2025-03-27,29.7,82.8,0,4.1,35.7,35.9,25.3,59,71.2,Moderate,
87,2025-03-28,24.4,63.5,0,7.8,32,61.5,20.8,82,65.3,Moderate,
88,2025-03-29,27.1,63.2,0,10,21.5,67,34.1,43,67.2,Good,
89,2025-03-30,29.6,68.8,0,13,25.9,42.8,33.7,54,62.7,Moderate,
90,2025-03-31,29.5,80,0,7.5,24.1,61.1,24.2,86,59.6,Moderate,
91,2025-04-01,30.7,56,0.6,15.3,16.3,47.4,21.4,53,67.8,Moderate,
92,2025-04-02,26.5,72.6,0,7.8,30.5,57,22.1,55,63.5,Moderate,
93,2025-04-03,24.7,87.2,3.7,7.8,27.1,41.5,29.9,61,57.1,Moderate,
94,2025-04-04,26.6,57.2,10.9,14.9,26.5,32.2,15.2,48,64.1,Good,
95,2025-04-05,17.7,70.4,8.8,10.7,20.8,51.1,19.8,60,64.8,Moderate,
96,2025-04-06,19,75.7,21.4,8.2,19,37.3,23.2,64,65.3,Moderate,
97,2025-04-07,19.7,74.2,0,9.5,25.1,69.4,19.9,67,70.1,Moderate,
98,2025-04-08,21.5,82.8,0,14.3,18.5,41.5,26.8,46,66.9,Good,
99,2025-04-09,29.2,69.4,0,14.7,28.8,37.8,23.6,64,70.5,Moderate,
100,2025-04-10,22,61.5,3.9,7.4,17.6,62.8,21.3,48,65.6,Good,
101,2025-04-11,24.9,76.5,0,9.9,28,57.2,17.7,51,63.3,Moderate,
102,2025-04-12,34.1,57.1,0,10.3,38.4,69.2,38.8,72,56.7,Moderate,
103,2025-04-13,25,82.4,5.9,6.8,20.8,65.9,19.9,44,64.2,Good,
104,2025-04-14,31.1,60.3,0,9.8,31,47.9,31.9,60,63,Moderate,
105,2025-04-15,21.9,70.8,0,10,17.2,43.6,21.5,36,57.7,Good,
106,2025-04-16,25.9,75.6,0.6,13.6,18.9,44.4,16.1,48,61.7,Good,
107,2025-04-17,21.8,82.1,0,13.9,10.4,24.9,15.9,20,64.3,Good,
108,2025-04-18,25.1,75.7,0,8.9,36,46.7,34.8,46,64.6,Good,
109,2025-04-19,31.6,51.2,13.5,9.3,37.5,71.5,29.9,73,65.7,Moderate,
110,2025-04-20,17.5,85.2,0,12.1,21.1,41.2,10.5,38,61.3,Good,
111,2025-04-21,29.4,58.9,0,8.1,46,38.5,31,73,64.2,Moderate,
112,2025-04-22,28.3,70.3,0,11.9,25.1,31,25.3,66,63.3,Moderate,
113,2025-04-23,23.7,62.3,7.5,9.7,47,67.5,46.9,95,47.4,Moderate,
114,2025-04-24,19,82.7,0,6.9,20,43.5,23.1,58,61.8,Moderate,
115,2025-04-25,27.4,63,4.7,6.9,30.5,45,24.6,62,69.3,Moderate,
116,2025-04-26,24.1,63,1.6,14.6,17.5,39.8,31.4,52,56.5,Moderate,
117,2025-04-27,28.3,74.2,0,9.5,31.3,34.2,14.5,45,64.1,Good,
118,2025-04-28,27.1,71.7,0,15.2,29.9,65.3,24.5,69,70.3,Moderate,
119,2025-04-29,35.8,54.9,0,8.4,35,58.3,47.8,80,58.4,Moderate,
120,2025-04-30,25.7,83.1,2.3,10.9,38.8,66.2,23.5,79,61.8,Moderate,
121,2025-05-01,21.4,72.9,0,17.7,18.3,38.4,6,34,58.1,Good,
122,2025-05-02,28,69.1,0,6.6,32.2,74.2,25.6,67,69.9,Moderate,
123,2025-05-03,28.2,70.7,0,3.9,24.9,61.7,40,82,62.6,Moderate,
124,2025-05-04,34.5,56.4,15.9,14.1,31.1,63.8,30.9,78,65,Moderate,
125,2025-05-05,31.6,68.4,0,7.4,31.7,68.6,25.1,68,68.9,Moderate,
126,2025-05-06,29,63.4,2,9.9,23.4,61.4,22.7,62,66.8,Moderate,
127,2025-05-07,35,57.4,0,8.1,29.1,67.3,29.5,72,58,Moderate,
128,2025-05-08,20.5,88.4,2.5,10.9,41.2,39.1,22.7,61,59.4,Moderate,
129,2025-05-09,23.5,65.7,0,7,23.7,74.8,34,74,65.1,Moderate,
130,2025-05-10,21.9,56.5,0,9.4,11,34,29.6,37,62.4,Good,
131,2025-05-11,24.9,85.3,3.8,11.4,17.6,46.6,26.5,43,54.4,Good,
132,2025-05-12,19.4,98,8.2,6.8,20.4,43.4,11.2,28,65.2,Good,
133,2025-05-13,30.5,62.7,0,7.8,35.9,62.8,20.6,68,54.5,Moderate,
134,2025-05-14,25.8,55.9,0,8.9,30.9,45.4,29.4,71,71.2,Moderate,
135,2025-05-15,18.9,76.8,0,5.4,28.1,49.9,12.3,47,64.1,Good,
136,2025-05-16,21.4,74.1,0,8.6,17.6,43.7,20.7,69,60,Moderate,
137,2025-05-17,28.7,66.4,0,10.4,30.8,32.6,29.4,69,60.1,Moderate,
138,2025-05-18,31.6,55.7,3.4,8.7,24.2,57.4,22,71,54.3,Moderate,
139,2025-05-19,38,62,0,9.1,32.3,51.1,28.1,76,57.2,Moderate,
140,2025-05-20,42,56.9,9.2,9.9,31.3,44.6,36.4,87,69.5,Moderate,
141,2025-05-21,29.3,55.4,0,7.9,20.8,57.8,32.4,56,74.8,Moderate,
142,2025-05-22,21.6,81.8,0,12.2,28.9,49.2,28.2,41,66.8,Good,
143,2025-05-23,15.3,98,9.4,14.6,16.8,37.7,17.8,38,65.8,Good,
144,2025-05-24,28.5,69.6,0,8.5,37,61.9,28.5,82,59.7,Moderate,
145,2025-05-25,22.5,72.4,0.1,11.6,22,19.5,16.6,40,60.2,Good,
146,2025-05-26,24.7,71.4,0,9.2,31.5,31.7,17.1,56,73.9,Moderate,
147,2025-05-27,23.6,78.7,1.9,11.2,8.5,71.5,19.1,60,63.6,Moderate,
148,2025-05-28,26.2,57,1.2,15,29.3,32,25.9,60,74.6,Moderate,
149,2025-05-29,32.9,64.5,8.9,11.6,30.8,62.7,31.3,81,70.7,Moderate,
150,2025-05-30,27.9,65.8,0,4.3,36.6,48.6,14.6,54,53.7,Moderate,
151,2025-05-31,26.1,85.7,0,11.5,28,50.1,19.2,48,59.9,Good,
152,2025-06-01,21.3,75.1,0,13.9,11,32.8,28.2,56,62.2,Moderate,
153,2025-06-02,17.8,93.9,0,9.3,7,48.3,19.6,39,65,Good,
154,2025-06-03,24.3,64.2,0,13.2,16.5,47.1,12.6,36,64.2,Good,
155,2025-06-04,26.7,75,0,7.8,32.6,47.2,43.3,71,77.8,Moderate,
156,2025-06-05,36.7,61.3,0,5.2,44.4,53.7,35.8,80,56,Moderate,
157,2025-06-06,27.7,62.2,0,10.5,16.2,55.3,29.2,49,65.3,Good,
158,2025-06-07,32.4,65.2,0,4.4,27.8,47.2,35.8,56,66.4,Moderate,
159,2025-06-08,24.3,82.8,0,9.2,19.1,54.4,21.7,39,63.9,Good,
160,2025-06-09,20.5,74.9,0,14.1,15.2,74,13.9,50,64.1,Good,
161,2025-06-10,21.7,62.5,8.8,3.9,13.8,65.9,38.4,58,60.1,Moderate,
162,2025-06-11,23,74.4,0,5.9,14.7,59.6,31.8,67,64.7,Moderate,
163,2025-06-12,38.7,49.3,0,6.7,33.1,67.3,42.7,87,64.6,Moderate,
164,2025-06-13,22.5,72.4,0,9.8,23.6,21,26.6,50,66.4,Good,
165,2025-06-14,31.6,64,8.2,8.8,20.9,38.8,22.3,42,68.4,Good,
166,2025-06-15,22,62,0,14.5,18.3,58.1,29.1,57,70.9,Moderate,
167,2025-06-16,32.1,51.1,0,13.1,37.7,44.5,22.9,71,67.1,Moderate,
168,2025-06-17,29.1,71.4,2.3,11.6,16.8,42.8,28.8,57,65.3,Moderate,
169,2025-06-18,26.1,66.8,0,10.5,24,47.8,13.7,49,57.8,Good,
170,2025-06-19,26.8,49.7,1.7,11.3,33.6,35.8,10.9,62,60.5,Moderate,
171,2025-06-20,23.4,80.4,3.8,7.2,21.5,32.7,26.2,50,64,Good,
172,2025-06-21,29.5,69.3,0,12.7,22.5,51.2,21.2,62,65,Moderate,
173,2025-06-22,24.5,67.1,0,6.4,36.3,40,11.8,53,60.4,Moderate,
174,2025-06-23,20.3,67.2,6.9,12.7,15.2,29.6,22.5,24,61.7,Good,
175,2025-06-24,20,84.7,2.4,13.8,26.2,28.8,33.3,60,58.6,Moderate,
176,2025-06-25,27.9,71.7,0,10.7,30.6,58.7,36.3,82,54.3,Moderate,
177,2025-06-26,35.7,79,0,9.4,32.3,59.3,31.5,79,61.2,Moderate,
178,2025-06-27,27.9,72.3,0,11.3,30.5,49,26.3,69,55.6,Moderate,
179,2025-06-28,26.3,73.8,0,1,35.1,66.5,35.8,79,56.8,Moderate,
180,2025-06-29,28.6,66.8,13.9,11,33.2,47.1,33.1,64,62.9,Moderate,
181,2025-06-30,34.2,68.2,0,9.6,29.1,56.7,29.6,73,56.1,Moderate,
182,2025-07-01,28.2,73.6,9.5,9.8,26.6,56.7,26.2,68,66.4,Moderate,
183,2025-07-02,24.7,82.6,0.3,12.3,22.6,55.3,25.3,54,67.3,Moderate,
184,2025-07-03,33.1,58.8,6.3,9.8,36.9,55.4,34.2,88,60.3,Moderate,
185,2025-07-04,29.4,63.8,0,6.4,23.3,58.6,28.7,55,61.1,Moderate,
186,2025-07-05,35.4,56.4,15.4,9.5,40.1,47.9,30.4,71,67.1,Moderate,
187,2025-07-06,28,75.1,3,10.2,30.7,40.5,36.1,83,60.2,Moderate,
188,2025-07-07,20.3,89.7,0.2,10.4,9.9,52.9,29,56,61,Moderate,
189,2025-07-08,19.5,74.9,0,10.5,29.3,47.7,23.2,58,69.1,Moderate,
190,2025-07-09,36.1,56.1,0,13.3,50.5,65.2,43.9,104,64.8,Unhealthy for Sensitive Groups,
191,2025-07-10,36.5,61.6,0,6.5,45.8,69.6,32.5,92,63.6,Moderate,
192,2025-07-11,26,69.1,2.3,10.6,36.5,49.7,36.1,52,67.3,Moderate,
193,2025-07-12,24.9,80,7.8,14.1,21.3,52.3,25.4,48,55.1,Good,
194,2025-07-13,35,42.7,0,4.4,24.6,78.2,57.9,90,69.2,Moderate,
195,2025-07-14,20.9,70.3,0,10.6,6.2,55.4,12.6,32,67.1,Good,
196,2025-07-15,22.1,69.3,0,8.1,25.7,45.9,18.2,56,68.6,Moderate,
197,2025-07-16,30.5,47.3,2.2,8.8,25.7,74.2,32.1,84,64.7,Moderate,
198,2025-07-17,24.8,64.7,0,7.1,19.6,54.4,28.4,55,64.1,Moderate,
199,2025-07-18,27,62.7,0,9.5,26.7,60.1,40,65,61.6,Moderate,
200,2025-07-19,26.1,69.4,2.7,15.9,26.3,48,17.7,58,65.7,Moderate,
201,2025-07-20,28.9,76.7,14.3,6,17.1,56.9,34,57,64.6,Moderate,
202,2025-07-21,34.7,59.1,0,6.3,32.8,54.5,42.1,78,66.9,Moderate,
203,2025-07-22,27.5,61.1,0,5.8,42.2,64.9,33.3,84,53.2,Moderate,
204,2025-07-23,30.5,65.4,3.4,15.5,16.9,86.8,19.3,82,60.6,Moderate,
205,2025-07-24,15.7,91.3,6.4,8.5,23.5,32.7,26.8,32,75.5,Good,
206,2025-07-25,26.7,62.5,0,9.9,22.7,52.1,34.5,60,60.5,Moderate,
207,2025-07-26,22.4,68,0,8.7,27.9,41.2,27.2,60,62.4,Moderate,
208,2025-07-27,20.3,82.1,0,7,31.7,39.7,23.5,53,58.8,Moderate,
209,2025-07-28,22.2,73.7,0,9.2,28.9,66.4,24.2,76,64.1,Moderate,
210,2025-07-29,25.2,77.2,1.4,17.9,26.7,33,20.4,58,60.5,Moderate,
211,2025-07-30,32,64,0,14.5,19,47.3,32.6,57,63.3,Moderate,
212,2025-07-31,19.7,84,0,7.3,31.1,24.5,21.7,50,68.2,Good,
213,2025-08-01,27.2,61.5,0.7,12.1,18.5,39.7,19.3,44,61.2,Good,
214,2025-08-02,24.3,72.9,1.9,7.3,28,27.9,17.6,48,68.3,Good,
215,2025-08-03,25.2,70.3,0.5,4.3,31.1,62.4,21.9,67,66.6,Moderate,
216,2025-08-04,32.5,53.9,0,13.3,33.4,91.5,30.6,85,66.3,Moderate,
217,2025-08-05,30,54,0,13.7,29.6,46.8,26.6,65,63.9,Moderate,
218,2025-08-06,34.4,67,0,13.3,24.3,35.5,32,64,80.4,Moderate,
219,2025-08-07,26.2,68.1,0,8.5,16.3,63.4,29.6,48,69.1,Good,
220,2025-08-08,23.2,66.2,0,9.5,30.7,37.8,18.9,46,65,Good,
221,2025-08-09,25.8,70.6,0,12.4,25.5,64.7,34.3,55,58.5,Moderate,
222,2025-08-10,28.3,77.4,0,11.3,36.3,48.2,24.7,77,62,Moderate,
223,2025-08-11,28,50.6,19.1,8.7,24.8,40.7,22.1,56,73.9,Moderate,
224,2025-08-12,21,64.8,10.5,4.8,11.9,44,25.8,49,75.2,Good,
225,2025-08-13,27.5,62,0,10.4,34.7,61.5,13.5,52,69.5,Moderate,
226,2025-08-14,28.3,80.2,0,13.5,22.5,46.8,20,68,67.8,Moderate,
227,2025-08-15,40.8,56.3,0,6.2,44.7,65,45.8,91,54.7,Moderate,
228,2025-08-16,37.3,64.2,0,12,29.5,59.4,21.3,66,65.1,Moderate,
229,2025-08-17,22.3,66.2,0,11.1,35,28.3,29.7,71,57.2,Moderate,
230,2025-08-18,25.4,62.8,0,12.4,16.7,52.5,34.3,49,56.8,Good,
231,2025-08-19,19,82.8,3.5,12.8,14.3,15.1,15.4,24,67.7,Good,
232,2025-08-20,23.8,74.2,0,7.8,26.3,43.7,26.5,60,66.2,Moderate,
233,2025-08-21,28.7,72.3,6.8,4.8,22,66.3,36.8,96,68.7,Moderate,
234,2025-08-22,33.6,60.8,0,8.3,36.6,64.8,28.9,81,64.2,Moderate,
235,2025-08-23,23,76.8,0,12.8,34.1,51.7,27.7,84,65.2,Moderate,
236,2025-08-24,23.4,75.4,0,8.3,20.9,47.8,19.3,61,59.1,Moderate,
237,2025-08-25,15.2,89.8,0,7.8,20.9,54.4,14.3,53,63.2,Moderate,
238,2025-08-26,26.1,77.4,0,4.2,8.1,67.6,22.4,39,57,Good,
239,2025-08-27,21.2,63.7,2,15.6,16.9,44.6,21.1,56,54.8,Moderate,
240,2025-08-28,24.1,55.3,0,12.6,19.8,57.6,30.7,47,67.4,Good,
241,2025-08-29,22.2,83.5,0,12.5,14.2,53.2,19.8,61,60.7,Moderate,
242,2025-08-30,26.5,80,0,13.1,32.8,42.3,15.4,59,67.4,Moderate,
243,2025-08-31,17.3,72.9,0,11.8,14.2,20.7,10,20,71.3,Good,
244,2025-09-01,18.9,64.4,0,9.2,18.7,47.9,22.8,48,61.1,Good,
245,2025-09-02,38.7,57.3,0,9.5,34.7,73,48.6,98,64.6,Moderate,
246,2025-09-03,19.9,85.5,21.9,8.6,5,52.8,21.2,36,65.4,Good,
247,2025-09-04,21,91.3,0,18.4,6.4,24.4,14.8,31,57.2,Good,
248,2025-09-05,37.1,62.5,0,11.8,42.3,50.1,38.7,77,62.4,Moderate,
249,2025-09-06,42,49.7,0.3,8.5,24.4,76.6,37.1,65,60.2,Moderate,
250,2025-09-07,20.6,70.2,1.8,11.5,13.5,41,17.4,39,63.1,Good,
251,2025-09-08,25,72.4,0,6.8,24,27.4,19.2,46,74.4,Good,
252,2025-09-09,28.9,65.4,0,14.8,39.1,54.2,35.3,78,54.3,Moderate,
253,2025-09-10,36.5,50.9,0,7.9,43,40.6,16.9,78,64,Moderate,
254,2025-09-11,21.6,92.6,0,11.6,16.3,31.2,26.6,37,60.1,Good,
255,2025-09-12,25.7,85.8,0,13.4,33.6,64.3,20.2,72,66.6,Moderate,
256,2025-09-13,31.3,74.1,0.1,11.2,23.9,79.1,26.1,70,64,Moderate,
257,2025-09-14,29.4,59.8,0,10.3,36.8,38.2,39.7,61,64.7,Moderate,
258,2025-09-15,24.9,79.2,10.7,10,12.1,41.9,18.1,27,62,Good,
259,2025-09-16,26.3,75.9,0,9.8,34.9,51.2,20.8,66,58.6,Moderate,
260,2025-09-17,19.4,82.2,8.8,8.2,16.4,64.9,18.9,70,69.7,Moderate,
261,2025-09-18,25.7,81.5,1.3,8.6,18.2,44.4,28.4,58,73.5,Moderate,
262,2025-09-19,25.5,76.7,0,14.7,20.4,39.2,19.7,32,66.8,Good,
263,2025-09-20,28.3,74.4,0,9.7,30.4,73.4,16.3,39,57.5,Good,
264,2025-09-21,23.9,78.6,0,7.5,21.9,45.1,18.7,57,65.7,Moderate,
265,2025-09-22,29.6,69.7,0.2,8.3,34.7,65.3,37.9,82,74.1,Moderate,
266,2025-09-23,32.6,49.3,0,13.5,24.7,35.7,29.5,66,64.6,Moderate,
267,2025-09-24,27.9,69.6,0,12.2,31,48.3,29,59,70.3,Moderate,
268,2025-09-25,28.9,63.3,0,11.8,30.8,30.5,25,60,60,Moderate,
269,2025-09-26,27.3,59.4,0.6,9.2,27.1,38.6,22,62,63.6,Moderate,
270,2025-09-27,27,83.4,0,11.8,22,60.7,37,64,66.5,Moderate,
271,2025-09-28,23,88.3,0,7.9,25.9,47.8,22.5,54,65.5,Moderate,
272,2025-09-29,28.7,78.8,2.8,9.2,32.9,49.4,24.4,66,59.3,Moderate,
273,2025-09-30,26.5,72.6,0,13.1,40.6,38.2,31.9,79,58.4,Moderate,
274,2025-10-01,38.5,67.5,1.3,12.8,42.5,59.5,28.8,82,66.5,Moderate,
275,2025-10-02,35.7,60.1,0,6.9,44.6,68.5,30.3,97,66.8,Moderate,
276,2025-10-03,29.1,69.1,0,7.3,55.3,69.2,29.1,94,67.3,Moderate,
277,2025-10-04,22.8,66,4.5,10.3,26.1,10.8,22.1,31,74.6,Good,
278,2025-10-05,20.9,80.2,6.1,15.5,20.2,26.7,19.8,60,66.5,Moderate,
279,2025-10-06,33.6,62.9,0.5,3.9,42.5,66.7,48.7,92,59.6,Moderate,
280,2025-10-07,28.4,57.9,0,10.9,19.4,51,29.2,52,70.8,Moderate,
281,2025-10-08,29.6,66.5,0,5.6,28.7,63.8,13.5,60,66.1,Moderate,
282,2025-10-09,17.4,80.3,0,8,15.5,45.2,21.6,47,59.7,Good,
283,2025-10-10,32.1,78.5,0,8.8,37.4,54.6,31,73,56.9,Moderate,
284,2025-10-11,29.5,74.2,0,8.7,28.6,48.8,29,64,65.6,Moderate,
285,2025-10-12,20.9,77.1,0,8.3,23.6,42.4,23.7,54,63.1,Moderate,
286,2025-10-13,24.4,74.9,0,10,33.1,63.2,23.8,73,62,Moderate,
287,2025-10-14,28.5,68.6,0,8.3,36.2,45.2,27.7,48,67.9,Good,
288,2025-10-15,27.3,68,0,5.3,29,55.1,32.7,87,66.7,Moderate,
289,2025-10-16,25.4,63.1,0,12.5,18.2,49.6,19.9,48,70.8,Good,
290,2025-10-17,26.4,69.4,6,12.4,32.6,67.3,17.2,73,53.3,Moderate,
291,2025-10-18,25.6,65.6,0,12.7,29.9,43.4,44.9,62,64.5,Moderate,
292,2025-10-19,27.8,59,0,5.1,18.2,69.3,24,55,66.9,Moderate,
293,2025-10-20,35.1,64.7,13.3,11,28.5,72.9,31.3,69,56.6,Moderate,
294,2025-10-21,14,88,3,12.2,14.4,32.3,5,42,62.5,Good,
295,2025-10-22,25.7,57.2,0,6.7,34.2,50.1,27.4,64,58.4,Moderate,
296,2025-10-23,28,67.9,0,10,34.9,48.3,20.3,72,62.7,Moderate,
297,2025-10-24,28.6,76,0,9.6,30.8,50.4,24.5,58,71,Moderate,
298,2025-10-25,25,80.8,0,15.9,25.5,54.7,29.1,60,73.4,Moderate,
299,2025-10-26,17.3,89.3,1.9,16.2,14,36.8,18.7,37,61.3,Good,
300,2025-10-27,28.8,68.2,6,4.7,25.7,59.9,33.2,80,66.6,Moderate,
